,ts_code,ann_date,year,div_proc,stk_div,div_chg_per,prima_20,prima_40,prima_60,prima_120,prima_240
17687,000078.SZ,20171028,2017,实施,0.0,-0.9999999993333333,0.02917974510633914,0.028234024916845346,-0.03929060563572884,0.0028443859239424274,-0.13153881401476275
17688,000078.SZ,20160426,2016,实施,1.5,4.0,0.10380345837676641,-0.02470608066245006,-0.03682384293502927,0.16812854572835412,0.14961577143274107
17689,000078.SZ,20070426,2007,实施,0.3,-0.6610169491525423,0.18098881487608054,0.13057994949563856,0.21107599325692816,-0.11462062018106478,0.2006881938135432
17690,000078.SZ,20060315,2006,实施,0.885,0.77,0.19679198851683388,-0.1200771896347822,-0.09075069189072005,0.0516345169278265,-0.14523797108946412
17691,000078.SZ,20020423,2002,实施,0.5,5,0.0,0.0,0.0,0.0,0.0
17692,000078.SZ,20010331,2001,实施,0.0,-0.999999999,0.0,0.0,0.0,0.0,0.0
17694,300147.SZ,20190430,2019,实施,0.0,-1.0,-0.012405139626916917,0.050100917470350836,-0.03750413476326109,0.026823799527803116,-0.14008907604636367
17695,300147.SZ,20180331,2018,实施,0.0,0.0,-0.005355914195049882,0.03680437676393655,-0.0025819598619313266,-0.09526521998998316,-0.13691441062095144
17696,300147.SZ,20160326,2016,实施,0.0,0.0,-0.040673421248845765,-0.05109213255106515,-0.16892104022377397,0.23478638483499514,0.07536783374191613
17697,300147.SZ,20150422,2015,实施,0.0,-0.9999999966666666,0.03638574422081664,-0.022237445665064914,0.032298687026621975,-0.30999847585099893,-0.01742497196999626
17698,300147.SZ,20140329,2014,实施,0.3,0.0,-0.03893195082365686,0.10132916721845042,0.3914475248105711,-0.08006651530218822,0.5896297107148574
17699,300147.SZ,20130322,2013,实施,0.3,0.4999999999999999,0.007115265746873378,0.24537188242138885,0.2775787615620877,-0.014882738699851017,0.2703258397072503
17700,300147.SZ,20120306,2012,实施,0.2,-0.8,0.03207609015328061,-0.011506943915334134,-0.11410636886042336,-0.07790296395972884,-0.05964361999747225
17702,002118.SZ,20160825,2016,实施,1.0,5,0.0062146227828872025,0.06309887325211871,0.05733281439237792,0.055947004207385076,-0.10137056307682935
17703,002118.SZ,20150217,2015,实施,0.0,-0.999999999,0.0598739475455623,-0.18178119069151022,-0.2224905152012181,0.0005056180294593648,0.37160993849557467
17704,002118.SZ,20110330,2011,实施,1.0,0.42857142857142866,-0.09134478400405333,0.13507730001509444,0.02900702915917064,0.7835172168412201,0.06438490626152227
17705,002118.SZ,20100203,2010,实施,0.7,5,0.17996320600159477,0.030974435112019805,0.05320221647599954,0.04160872262789761,-0.24096931346191564
17706,002118.SZ,20090325,2009,实施,0.0,-0.99999999875,-0.04610479016549607,-0.07846207014632267,0.22291409762505054,0.3453454128680482,-0.2217911439790734
17707,002118.SZ,20080130,2008,实施,0.8,5,0.36038268945693286,0.3847194500541091,0.26773744502409236,-0.35314174673384946,0.6571022846135528
17709,600351.SH,20190424,2019,实施,0.0,-1.0,-0.07173791823684217,0.286159475707533,-0.06408699310318622,-0.08275088098339656,0.04954563017721614
17710,600351.SH,20180428,2018,实施,0.0,0.0,-0.032487931099912104,0.07529198179389929,0.09764065993189197,-0.14827122743796384,-0.03248551619200968
17711,600351.SH,20170427,2017,实施,0.0,0.0,-0.06357392512375948,-0.03546610430394559,-0.02413700158034726,-0.09172432397352315,-0.09828832104693319
17712,600351.SH,20160331,2016,实施,0.0,0.0,-0.008961690827481883,-0.041140575397277335,-0.03941090910943634,0.1375707125636214,0.2917329676174245
17713,600351.SH,20150422,2015,实施,0.0,0.0,0.039684962550666114,0.21339981287907417,-0.16131202210412998,-0.2287234132685746,0.023706680286467163
17714,600351.SH,20140425,2014,实施,0.0,0.0,0.14020507177229935,-0.08097793223670957,0.239282103457241,0.11084974755096533,0.19654632692048368
17715,600351.SH,20130426,2013,实施,0.0,0.0,0.035712115597557714,-0.02093910377931474,0.05925109832000497,-0.23248979158270922,0.1019669986113787
17716,600351.SH,20110223,2011,实施,0.0,-0.999999999,-0.042208308691258245,-0.11146539031312808,-0.059173878779388955,0.07650792001812601,0.13876849873780506
17717,600351.SH,20100305,2010,实施,1.0,0.0,0.18744671826246306,0.13994525857056295,-0.07408465159316102,0.20270847536641923,0.11205655331918529
17718,600351.SH,20090305,2009,实施,1.0,5,0.2716928259826936,0.04792135021004129,0.08072218859320057,0.30626730634670607,0.23595109532496328
17719,600351.SH,20070313,2007,实施,0.0,0.0,0.1005705477635459,0.1292921065151733,-0.047171844406972974,-0.22502502065856445,-0.10924964367587253
17720,600351.SH,20060328,2006,实施,0.0,0.0,-0.042446419052910356,0.026968554306323833,-0.08929521116545447,0.20839349492967818,-0.3324311186396338
17721,600351.SH,20050301,2005,实施,0.0,-0.999999998,-0.07610241482039659,0.00355304980934279,0.12156965712011258,-0.07567429446764162,0.09798417640107804
17722,600351.SH,20040302,2004,实施,0.5,5,0.07428527847325506,0.09762201971300288,-0.09738193664515438,-0.171187688008124,-0.11252170744699119
17724,002262.SZ,20190228,2019,实施,0.0,-1.0,0.020402660893925395,-0.020423339475301727,-0.1512993237177649,-0.31310796147191045,0.5255813633787996
17725,002262.SZ,20180228,2018,实施,0.0,-0.9999999983333334,-0.05140421949920837,-0.017617704989499883,0.04443391198167701,0.01538262530105472,-0.02934127942121434
17726,002262.SZ,20170228,2017,实施,0.6,1.0,0.06258231515303181,-0.026007463040342182,0.09573558065267118,-0.008240830229575669,0.2049894119648148
17727,002262.SZ,20160219,2016,实施,0.3,0.4999999999999999,-0.08980759138645789,0.05549372848456624,-0.0012638576888107655,0.03313733817813991,0.12873260588114088
17728,002262.SZ,20150217,2015,实施,0.2,0.0,-0.03708146958655212,-0.013214486890145372,-0.2282609261242985,-0.030126214421887676,0.16170586215053628
17729,002262.SZ,20140326,2014,实施,0.2,-0.5,-0.10931039553568067,-0.028952100602597675,0.06107375408711757,-0.0018640743862415876,0.3635819770683668
17730,002262.SZ,20130328,2013,实施,0.4,5,0.013200367559031978,0.020849379702704063,0.05526502667721789,-0.09430722423320759,0.6232676994415776
17731,002262.SZ,20120329,2012,实施,0.0,0.0,0.002659073598379358,0.047323517513583324,-0.1425177256272191,0.0929698033774844,0.136969962957862
17732,002262.SZ,20110326,2011,实施,0.0,-0.9999999966666666,-0.12362425212772199,0.11241329838050484,-0.116768736932515,-0.10168537763609486,0.6776156389212491
17733,002262.SZ,20100330,2010,实施,0.3,-0.4,-0.055732882495099334,0.08967943134834,0.0781404502016958,0.06692102593294647,0.19169326563142808
17735,002252.SZ,20180426,2018,实施,0.0,-1.0,0.07832755529941737,-0.062231734628983904,0.03486889858030873,0.029354868202696727,-0.1738513909402728
17736,002252.SZ,20170412,2017,实施,0.0,-0.99999999875,0.017386679830651453,-0.09538588028127415,-0.06454148365514145,-0.006273836525723886,0.06415590270153149
17737,002252.SZ,20160831,2016,实施,0.8,5,0.029730836041549802,0.009454946582317492,-0.010144854638830858,-0.05321297899931632,0.08983436611976914
17738,002252.SZ,20160316,2016,实施,0.0,-0.999999999,-0.03914283540010366,0.08329912215529656,0.128746299761193,-0.14065140263740106,0.7402375330828117
17739,002252.SZ,20150818,2015,实施,1.0,5,0.009429843775317748,0.5381824945149847,-0.05520838621230606,-0.1644439962547415,0.5909511559543175
17740,002252.SZ,20150213,2015,实施,0.0,-0.999999999,0.13387927683945744,-0.15917395251648137,-0.13336861435291658,0.86437573768738,1.0555420219273164
17741,002252.SZ,20140822,2014,实施,1.0,5,-0.036703547648078816,0.3151788852672395,0.035035839896342846,0.6105430882169969,0.7250196210499262
17742,002252.SZ,20140325,2014,实施,0.0,0.0,0.07472645873207284,0.04047165312483947,0.1263570174995079,0.6350729059011897,0.5720556449657328
17743,002252.SZ,20130328,2013,实施,0.0,-0.99999999875,0.08737735300844651,0.20001602152159337,0.08283799034856276,-0.026552275371505396,0.0076748993261712695
17744,002252.SZ,20120329,2012,实施,0.8,5,0.10055693522043208,-0.0029847879715533265,-0.07358255282035175,0.05647119851632887,0.046300755170079366
17745,002252.SZ,20110331,2011,实施,0.0,-0.9999999985714286,-0.12006713996521357,0.14885959592674136,-0.1299248838276741,-0.117081649188021,0.7750461193914708
17746,002252.SZ,20100825,2010,实施,0.7,5,0.10514160008707019,0.02890663318900155,0.04429343774095429,0.2518206395594391,0.4719454647517938
17747,002252.SZ,20100408,2010,实施,0.0,0.0,0.018514309493738557,0.16692878798090205,0.04045637918678091,0.25493971340332733,-0.1574112874226964
17749,600518.SH,20190430,2019,实施,0.0,-1.0,0.009261346944595905,-0.08315625342984845,0.46390859882030266,-0.46524754958811554,-0.3851668344241559
17750,600518.SH,20180426,2018,实施,0.0,0.0,-0.04361131532774498,0.13689864958237985,0.022569850874031294,0.005049221068541776,0.0011508602929544143
17751,600518.SH,20170420,2017,实施,0.0,0.0,0.07636740385352936,0.0060467860218775815,-0.04852222486629654,0.028822883794870524,0.07340464472653396
17752,600518.SH,20160425,2016,实施,0.0,-0.999999999,-0.03678742882152275,0.0925010010479772,0.014281160275046778,0.00743749023066731,0.08019813092221573
17753,600518.SH,20150410,2015,实施,1.0,5,0.17862302096202543,0.5793863153090113,0.04794248514205579,-0.27897894324433103,-0.1153330295046372
17754,600518.SH,20140328,2014,实施,0.0,0.0,-0.015759958107752214,0.002643488141519157,-0.036661398261161215,0.01409455703560658,0.06359365363251857
17755,600518.SH,20130425,2013,实施,0.0,0.0,0.06220433800904379,-0.03851050447919557,0.18531517887143578,-0.1747745524225789,0.4891307813717005
17756,600518.SH,20120425,2012,实施,0.0,0.0,-0.01188267134527432,0.058814747219453345,0.08691538667416321,-0.153980732690291,0.1818069826054749
17757,600518.SH,20110421,2011,实施,0.0,0.0,-0.08294852484072734,-0.05493419689923673,-0.06824600054036023,0.0596519943683651,0.6185138300837993
17758,600518.SH,20100422,2010,实施,0.0,-0.999999999,0.22236999648638078,0.12468700857420711,0.03849358837862704,0.09073253226904043,0.04143915737263337
